rank,k,region_k,missing_rssi,weight_power,use_region_filter,mean_error_m,median_error_m,p90_error_m,max_error_m,nearest_mean_error_m,samples
300,15,8,-95.0,2.5,True,2.4347,1.9628,4.7601,11.5482,3.2097,312
301,15,10,-95.0,2.5,False,2.4347,1.9628,4.7601,11.5482,3.2097,312
302,15,10,-95.0,2.5,True,2.4347,1.9628,4.7601,11.5482,3.2097,312
303,15,15,-95.0,2.5,False,2.4347,1.9628,4.7601,11.5482,3.2097,312
304,15,15,-95.0,2.5,True,2.4347,1.9628,4.7601,11.5482,3.2097,312
305,15,20,-95.0,2.5,False,2.4347,1.9628,4.7601,11.5482,3.2097,312
306,15,20,-95.0,2.5,True,2.4347,1.9628,4.7601,11.5482,3.2097,312
307,15,30,-95.0,2.5,False,2.4347,1.9628,4.7601,11.5482,3.2097,312
308,15,30,-95.0,2.5,True,2.4347,1.9628,4.7601,11.5482,3.2097,312
309,15,3,-90.0,2.5,False,2.4347,1.9628,4.7601,11.5482,3.2097,312
310,15,3,-90.0,2.5,True,2.4347,1.9628,4.7601,11.5482,3.2097,312
